time_sec,time_nsec,timestamp,DATA0,DATA1,DATA2,DATA3,DATA4
556073.0,0.12973285,3793953.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.13048005,3793954.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.13129544,3793955.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.13207436,3793956.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.13287711,3793956.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.13370967,3793957.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.13447905,3793958.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.1352706,3793959.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.136055,3793960.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.1368506,3793960.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.13765144,3793961.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.13844752,3793962.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.13925576,3793963.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.14005971,3793964.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.14088011,3793964.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.1417017,3793965.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.14249158,3793966.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.14328098,3793967.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.14408731,3793968.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.14488053,3793968.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.1456852,3793969.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.14645243,3793970.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.14725113,3793971.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.1480577,3793972.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.14884853,3793972.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.14963508,3793973.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.15043402,3793974.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.15122724,3793975.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.15201426,3793976.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.1528604,3793976.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.15363431,3793977.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.15444636,3793978.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.15523863,3793979.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.15605187,3793980.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.15684366,3793980.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.15765452,3793981.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.1584382,3793982.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.15925336,3793983.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.1600616,3793984.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.1608715,3793984.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.16170263,3793985.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.16248941,3793986.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.16328669,3793987.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.164083,3793988.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.1648817,3793988.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.16568851,3793989.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.16648269,3793990.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.16729236,3793991.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.168118,3793992.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.16893482,3793992.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.16964817,3793993.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.17047715,3793994.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.1712799,3793995.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.17206931,3793996.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.17285895,3793996.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.17365813,3793997.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.1744535,3793998.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.17525244,3793999.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.17604804,3794000.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.17687392,3794000.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.17764974,3794001.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.1784532,3794002.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.17930746,3794003.0,0.0,0.0,0.0,0.0,1.0
556073.0,0.18010855,3794004.0,0.0,0.0,0.0,0.0,1.0
